ASV_ID	10m_0_mV	10m_200_mV	10m_400_mV	10m_600_mV	10m_800_mV	10m_Cont	20_5m_0_mV	20_5m_200_mV	20_5m_400_mV	20_5m_600_mV	20_5m_800_mV	20_5m_Cont	35m_0_mV	35m_200_mV	35m_400_mV	35m_600_mV	35m_Cont
ASV62	0	0	0	0	0	0	2145	1745	3964	3569	4895	437	0	0	1120	1182	788
ASV63	2150	1956	714	1043	314	498	847	1479	2408	1351	1034	2084	0	2806	0	533	2513
ASV64	76	171	320	754	917	48	865	885	2517	1995	1978	0	0	14525	0	0	2069
ASV65	0	0	0	0	0	0	5337	2339	3951	3554	2142	3330	2109	0	2113	0	1993
ASV66	0	0	0	0	0	0	144	342	74	374	178	0	0	10796	5474	883	2757
ASV67	0	0	0	0	0	0	1221	2260	3945	2790	3888	3312	0	7053	456	0	1441
ASV68	1622	1970	2834	4837	8354	249	381	0	0	0	0	0	0	0	0	0	0
ASV69	0	0	0	0	0	5	203	230	293	364	297	0	1100	18502	2504	318	825
ASV70	0	0	0	0	0	0	1377	1454	6861	3017	2701	3631	5680	0	244	70	1372
ASV71	3939	3072	2529	1014	624	6696	172	14	311	0	49	0	0	0	0	0	0
ASV72	0	0	0	0	0	0	2301	2625	6433	2366	2772	1800	0	2144	808	284	1001
ASV73	0	0	0	0	0	0	1999	1823	5401	5244	3129	7387	0	0	0	0	0
ASV74	0	0	0	0	0	0	1570	2564	6938	4972	4794	3918	0	0	0	0	0
ASV75	3065	2476	2985	3030	4011	1480	139	139	352	39	250	0	0	0	0	0	0
ASV76	3180	3453	2350	2498	4481	1449	221	0	0	65	14	0	0	0	0	0	0
ASV77	0	0	0	0	0	0	71	0	0	60	0	0	4293	12692	2465	327	1983
ASV78	1601	1877	1552	2571	1963	932	664	265	769	626	343	1388	0	0	0	0	3662
ASV79	3581	2698	915	5057	4229	921	0	0	0	0	71	0	0	0	0	0	0
ASV80	2002	2683	2267	1627	2198	2098	326	207	722	1178	920	0	0	0	0	0	1075
ASV81	30	0	0	0	23	0	580	757	980	519	586	411	0	2431	621	1597	1794
ASV82	0	0	0	0	0	0	975	2192	3228	2667	2817	3677	0	909	4383	270	138
ASV83	2771	2296	3461	1118	2228	3026	296	284	196	386	43	0	0	0	0	0	0
ASV84	866	1239	3805	3246	5854	39	15	108	245	388	0	808	0	0	0	0	0
ASV85	1079	900	3116	4048	1477	4432	0	0	0	0	0	0	0	0	0	0	0
ASV86	0	0	0	0	0	0	80	327	840	447	385	280	13390	6880	346	0	575
ASV87	0	0	0	0	0	0	362	397	394	166	216	755	2499	7245	3076	753	352
ASV88	566	773	3791	3199	6553	361	0	54	0	64	26	0	0	0	0	0	0
ASV89	2449	2422	3432	2717	4023	104	0	0	0	0	0	0	0	0	0	0	0
ASV90	4510	4536	1089	196	57	260	455	557	1747	609	759	746	0	0	0	0	556
ASV91	5094	2472	985	2238	855	3011	0	114	0	0	58	0	0	0	0	0	0
ASV92	1158	934	1139	1909	3636	156	462	478	937	832	519	2963	0	0	0	0	1080
ASV93	0	0	0	0	0	0	68	4158	8011	3894	2182	1422	0	0	0	0	0
ASV94	0	0	0	0	0	0	242	3364	4785	3801	1250	1183	623	2244	333	0	1206
ASV95	0	0	0	0	0	0	78	0	45	205	83	694	8177	3214	6558	0	1688
ASV96	0	0	0	0	0	0	510	893	2119	7087	5911	659	0	0	907	0	128
ASV97	0	0	0	0	0	0	313	193	374	240	250	516	3135	330	2940	754	3501
ASV98	0	0	0	0	0	0	0	148	125	76	371	0	8130	5556	2679	152	1481
ASV99	1754	727	1884	2496	1641	4330	0	0	0	0	0	0	0	0	0	0	0
ASV100	0	0	0	0	0	0	0	0	43	0	0	0	0	9641	492	825	198
ASV101	677	1208	2541	2967	4676	328	180	50	0	0	0	0	0	0	0	0	0
ASV102	1916	1269	2244	2216	3158	637	265	226	116	140	228	129	0	0	0	0	0
ASV103	0	0	0	0	0	0	9	21	0	35	29	0	865	6598	3071	118	3897
ASV104	77	14	230	4227	8157	11	0	0	0	0	0	187	0	0	0	0	0
